timestamp|spi|sequence_number|initialization_vector|integrity_check_value|encrypted_total_length|encrypted_head_length|encrypted_data_length|plaintext_header_length|plaintext_data_length|plaintext_total_length|padding_length|complete_id|total_length
1743258035.341446|3461344040|573685|b'\xb8\xc7;b7\xd9Y\xad\xc8\xc9\xd3\x01\x93\xdfH\x9b'|b'j+\x19\xa1\xb9^Aw\x82\xa5\xe6\x9a'|134|42|92|60|0|60|2|1|60
1743258035.342022|3224334942|837766|"b'\xe6\xcdm-\xcf""\x17\x86\x97\xbf\xeb\x94V#\x01U'"|b'\x96\xdf\xd3\xb3L\xb5-\x1a\x7f\x05\xd6\\'|134|42|92|60|0|60|2|2|60
1743258035.342087|3461344040|573686|b'X\xb9\xb8&\x03z2\xd3J\\+\xd6\x03G\x17*'|b'\xabKs\x83\xb1\x9e\xd0C\xcb\x19\x10\x99'|134|42|92|52|0|52|10|3|52
1743258035.342431|3461344040|573687|b'\x89Q\xec\xb6m@R\x94\x80\x1e\xfe\xc1\xdd\x8f\xff\x86'|b'c\xd4\x8eU\xfc.H\xa2\xc3\x9d\xe52'|166|42|124|52|42|94|0|4|94
1743258035.342759|3224334942|837767|"b""*}sn\xd6\xa7\xeaGk'\x1ax\xc1\xb3\x88\xfc"""|b'\xe7-)\xbaN\xd1\xbb\x04\xed\x93\xc8\xe8'|134|42|92|52|0|52|10|5|52
1743258035.343286|3224334942|837768|"b'\x1aB\x19|~\x8c\x0c\xaa\xb90ZK\xbd.\xee\xda'"|b'\xdf0)\xf9\xe6\xa9*y]\xc1\xdb%'|166|42|124|52|42|94|0|6|94
1743258035.343330|3461344040|573688|b'\x12\xc5C\xffx\x08\xe9\x15\xea\xf0\xf8\xa1\x12%\xa7\xb6'|b'\x87\xf6\x87M\xb3\xdc\xe6+\r\xbfT\xcb'|134|42|92|52|0|52|10|7|52
1743258035.345230|3224334942|837769|b'\x97\x98\xcb\x9c\x01Y\xfeW\x83\x1e\xceQ9\x9fX*'|b'\xf2[\xc8/\xc1\xbb(\xed\xd3\x15\x02\x19'|1254|42|1212|52|1120|1172|10|8|1172
1743258035.345284|3461344040|573689|b'C\xc0\t\xb7\xd6\xe0\x06\x0f\x93T\xd0\xbaN5Q\\'|"b"" \x16\xf7\xb3\x92\xf8\xe8p'\xbb,t"""|134|42|92|52|0|52|10|9|52
1743258035.345498|3461344040|573690|b'\xe7W\xb7\xb6\xd0\xa7I\xea\x8fEq\xa8\xa5f/\xaf'|b'\x1d\xe9\xf9y\x10\x9d\xfdy\xef\x0b\xf3\xcf'|1510|42|1468|52|1386|1438|0|10|1438
