timestamp|spi|sequence_number|initialization_vector|integrity_check_value|encrypted_total_length|encrypted_head_length|encrypted_data_length|plaintext_header_length|plaintext_data_length|plaintext_total_length|padding_length|complete_id|total_length
1743262321.430752|3461344040|2743788|b'\x14%\xee\xb5\xe1\xe0\x15O7\xe6\x87\x96h\xf7\x8e\xfa'|b'Q\xda;\xbc\xa6)A\xb5\x1b\x99\xd2\xd3'|134|42|92|60|0|60|2|1|60
1743262321.431191|3224334942|1595151|b':/t\x96aBO7\xa2\x953\xf7N\x13\x17\xe5'|b'\x05\xbf\xc4\x909&\xfeJ\xac\x82\xf0\xc6'|134|42|92|60|0|60|2|2|60
1743262321.431269|3461344040|2743789|"b'\x0b\xaf\x13\xa7""\x90\x95\x00\x89\x9c\xea\xf2m\x81\xe4R'"|b'\x10{\xd0G\x8cy_\x894C\xd8\xed'|134|42|92|52|0|52|10|3|52
1743262321.431832|3461344040|2743790|b'1\x7f\xac\x8b\xc0R\x0f\xd5J\xc5/M\xf1:4\xbb'|b'\xdf\x8c\xf3\xeb\xc8Q\xf2H\x856nQ'|406|42|364|52|268|320|14|4|320
1743262321.432191|3224334942|1595152|"b'O\xcc0(3\xb9r\x1e""\xf4\xc0P9\xfb\xb0m'"|b'\xea\xc8\xfe8\xad7\xff\xf2\xf0\xb5\xff\xc7'|134|42|92|52|0|52|10|5|52
1743262321.432620|3224334942|1595153|b'\x92L\xe8\x1cj\x87D\ri#\x01\x1b=,p\xdb'|"b'\x83D|Uu/X$\xa2\x03\xb2\xa0'"|438|42|396|52|303|355|11|6|355
1743262321.432678|3461344040|2743791|b'\xbf\xb4FC\x1f\x9b\xb7\xdd\xc9\x12\xf1:U\xf2q\x17'|b';q\x92\xa1\xfchr\x9c\xbf4%~'|134|42|92|52|0|52|10|7|52
1743262321.433584|3461344040|2743792|b';\x0bM\xac\xe3P5\x83\xec\xb3Z\xd035K\xb9'|b'\xa9J\xb7\xc0N\x8a_\x90\x05\x8e\xa7\xb2'|1510|42|1468|52|1386|1438|0|8|1438
1743262321.433648|3461344040|2743793|b'4a\xf6\x0e\xe6y\xbf\xea8\xed\xc9\x07\xb5\x82\xdcb'|b'\xa8\xc6\xaf\x14\x99\xc1\x98\xb0{p\xf2K'|1510|42|1468|52|1386|1438|0|9|1438
1743262321.433737|3461344040|2743794|b'\x03\x17]\x17\x95\xdb\x14\xac~\xbb\xc1\xefhQ\xe0J'|b'\xe1\xa5\x1f\xaf\x08\xc98i\x15\xdf\x16T'|838|42|796|52|699|751|15|10|751
