timestamp|spi|sequence_number|initialization_vector|integrity_check_value|encrypted_total_length|encrypted_head_length|encrypted_data_length|plaintext_header_length|plaintext_data_length|plaintext_total_length|padding_length|complete_id|total_length
1743252031.157413|3224334942|411531|b'-[L\xbc\xb5\xf3\xff\x0c?\x90\xce7n\xd5{\x1c'|b'K\x1c\x03q\x89Z\xf4\x0eo\xb1\x10\xe7'|134|42|92|60|0|60|2|1|60
1743252031.157479|3461344040|202211|b'r\x18g\x1f\xbf\x08\xbf!\x14\x94\x02\x06\x05\x80*\x91'|b'N\xa6t\xa9\xea2`\xe9\x80z\x82\xef'|118|42|76|40|0|40|6|1|60
1743252031.622292|3461344040|202212|"b""F)\xb7\x9f\x86\x10vl\xed'\x131$5\x8f\xaf"""|b'\x91Ah\x82\x1d\xad)FR\x1dE\xfc'|134|42|92|60|0|60|2|3|60
1743252031.682497|3224334942|411532|b'\xbe\x12\x89\xf0\xa9OM\xe1\xb5\x19 \xdbJ\x92\x176'|"b""\x02'\xd0\xa7pe\xda\xe4\xc4T\xd8Q"""|134|42|92|60|0|60|2|1|60
1743252031.682613|3461344040|202213|b'f\xc3}$\xfa\x9e\xa6s\x16^\xadF}\xb9I\x10'|b'\x14\xf1N\xfb\x01z\xc0\xc2~Kt>'|134|42|92|52|0|52|10|5|52
1743252031.683229|3461344040|202214|"b'\xf8,~`tUi|\x91\xf6\x1b\x1e\tI\x16\xa8'"|b'\xe5\x12P\x07/\xb7\xf2b\xa5\x14Q\x19'|646|42|604|52|517|569|5|6|569
1743252031.742455|3224334942|411533|b'\xa3\xd1i\xa3\xc8\x98\xdb.\xa1\x94\xd0\xf6@y\x17['|b'\x86G\xcbyO\x8e\x08]#&s\x13'|134|42|92|52|0|52|10|7|52
1743252031.804463|3224334942|411534|b'\x08\x162\xba\xeeK\x8c\xf4\xdb\x85\xcd\xbe\x9e50\xec'|b'\xb0\xb6\xcc!4D,8\xb2\xe1?\x19'|1510|42|1468|52|1382|1434|4|8|1434
1743252031.804463|3224334942|411535|b'\x8a\xaeP\x08;t\x0e\x07\xbdH\xb2\xd8\x14\xde\\\xad'|b'\x1a\x14x\xbcM)\xc5k\x1c\x83\xc2Q'|1510|42|1468|52|1382|1434|4|9|1434
1743252031.804556|3461344040|202215|b'39\x81\xa5J\xfc\x1a\x04{%\x13\x94\xd5\xc1)\x80'|b'\r\xb7\xd2\x12?A\x93u\xe4\xe3#A'|134|42|92|52|0|52|10|10|52
1743252032.139948|3224334942|411536|"b'9,\xf9\x81P\xbcnw""\xe1\x1f\xc6\x1e\xd6\xc8|'"|b'\xfd}\x17\x97\nK\x05\x91\x83\x108\x9f'|214|42|172|52|84|136|6|11|136
1743252032.140107|3461344040|202216|b'\xf1\x8b\x03\r\xe2\xc5\xf3,V\x9a\x9c5\xed/\x11\xb3'|b'\x86\xb0c\xbe\x90\xb2\xdc\x17\xc98C`'|134|42|92|52|0|52|10|12|52
1743252032.204048|3224334942|411537|"b'\xf1m~\xb8\xfe\x92\x9a\x18\xcf\xca]\x04\xb9""(\xed'"|"b'\x9d\xd7[\xfd\xda\xd3i\xfc"",G['"|1510|42|1468|52|1382|1434|4|13|1434
1743252032.204048|3224334942|411538|b'pkc\xd9\x12=4\xaf\x94\xf5N1\xf0\xd5\xff\xf5'|b'M\x94\xaa\xd3\\\xddH\tI\xaf\x0f}'|1334|42|1292|52|1199|1251|11|14|1251
1743252032.204132|3461344040|202217|b'\n\x17b\x111\x07\x8b\x1f;\xd0\xf37\x00\x05\xff\xc5'|b'\x9c\xb6\t$\xb8yX\xe1k\xab*]'|134|42|92|52|0|52|10|15|52
1743252032.205369|3461344040|202218|b'C\xa4\x93\xd4 c\x1b\x85t\xb4Q\xab\xe5\xc1\x08\x05'|b'TW\xf0KX.\xcd,88\xe8t'|198|42|156|52|64|116|10|16|116
1743252032.205739|3461344040|202219|b'\x9b\x0fK\xa2\x81\x85a\xc7oRJ[9\xf1c\xc5'|b'a\x89,Nmz\xb3$^\x9e0t'|358|42|316|52|234|286|0|17|286
1743252032.274275|3224334942|411539|b'l\x9a{\x8bE\xf9\x01\xd4\xadH\xc4\xd35\x92\x18\t'|b'-C\xe5B\xe7\x1eu\xef\xbav\xda8'|134|42|92|52|0|52|10|18|52
1743252032.274275|3224334942|411540|b'\xea\x86\x00\x14\x06\xfa\xf6\xfa\x06\x18\x85\x81\xa2\x83\xb6%'|b'\x84\xa8!\x02\xedS\xb5v\xd5,\xe8\x0e'|134|42|92|52|0|52|10|19|52
1743252032.274275|3224334942|411541|b'\xd1Wk3r\xc3!V\x02\xfd\xe6J]\x96\xa6\x8b'|b'\x05\x19\xd9\t){\xb3\xfc\xf5\xaf\xa6\x8c'|950|42|908|52|811|863|15|20|863
1743252032.278013|3224334942|411542|b'X\x11\x04\x1dg\xba\xc4\x00V\xb8\x02\x98+a\x82\xb6'|b'b\xb0]\x18\xf4\xee2\xbd\xfa7<\x1e'|1510|42|1468|52|1382|1434|4|21|1434
1743252032.278013|3224334942|411543|b'\x95\x97W\xc3\xd9\xf5U=\xae\x1fJ\xb9\x87\x8a\xa9E'|b'WK\x83\xe8\xd9\xde*\xfe\x8a\xdd\xe4\xee'|1510|42|1468|52|1382|1434|4|22|1434
1743252032.278093|3461344040|202220|b'\x0ea\x8eqh\xde\x04\xbd)ZIHF_\xb60'|b'\xbe\xdc \xdcq^\xa5{\x90\x86\xe0U'|134|42|92|52|0|52|10|23|52
1743252032.341927|3224334942|411544|b'\xe4A\xb0\x14vf3Gr\xe0s\x1c\x06W\x949'|"b'|t\x1e\x16E\rb63\xfc\xa9F'"|1510|42|1468|52|1382|1434|4|24|1434
1743252032.341927|3224334942|411545|b'\xed7\xb6\x8a+s\x1d\xe1\xc0\xf4\xf6\x85F!\xef\x88'|"b'\x95\x11*""\xc3\xcf\x8fw\r\xcc\xab\xb6'"|1510|42|1468|52|1382|1434|4|25|1434
1743252032.342023|3461344040|202221|b'\x14\xac\xd4\xd5\xa4\xf6\xa8\xdcP\xda>Q\x8d\xd6\x03\xd4'|b'\xb6\xfa#e~/6\xd3\xeb%T\x1b'|150|42|108|64|0|64|14|26|64
1743252032.342099|3461344040|202222|"b'\xd4_\xa9\\\x9c[v3\xd9\xc3\xdb\xd6|\xf3g+'"|b'(\xd8oia\xa0H\xed\x98\xb8\xbd\x8b'|150|42|108|64|0|64|14|27|64
1743252032.408991|3224334942|411546|b'5\x9b\x1eDqQ\x9d\x01y\x83r\xd8\x17\xb0 $'|b'\x02{JZ\xedES\xdd\x03p\xc8\xaf'|1030|42|988|52|902|954|4|28|954
1743252032.408991|3224334942|411547|b'\x1em\xe3\xd0\x8dC\xfe\x7f\xbfX\xbe\xa1\x1f\xdf\x931'|"b'\x1d)%c\xc15\x85\xf5\xc26,""'"|1510|42|1468|52|1382|1434|4|29|1434
1743252032.409072|3461344040|202223|b'\xa9\xf3^a\xf11$_\x1d \xae\xa4\xd7\x81\xbeh'|b'}!\xb9\xcb\xe7\x8aM&\xa4%U\x86'|150|42|108|64|0|64|14|30|64
1743252032.409161|3461344040|202224|b'F\xc7Id\x06K\x1c>xH\xff}\xa5y\x80W'|b'b\x11\x087\x04\xc9\xda\xa6\xa2a_9'|150|42|108|64|0|64|14|31|64
1743252032.422047|3224334942|411548|"b'Q\xdb|\x1a\x89\xe1\x82\xd1\x03\xea\xf1,^\t\x14\x80'"|b'[\xe2\xcc\xba\x11\x8aQI\xd8?\xc3\x1e'|1510|42|1468|52|1382|1434|4|32|1434
1743252032.422047|3224334942|411549|b'\xf4\xe0w\xf0Bvyi\xc0\x99&\xf9i\xeb\xcd\xea'|b',,\x15Y\xcc\xaed\xbdG\x92\x88$'|1510|42|1468|52|1382|1434|4|33|1434
1743252032.422139|3461344040|202225|b'\xb5f&\x80\xb5\xd1l>6\x8b\xcaL\xc7\xb7\x18\xf4'|b'z\xe8\x84\xa7\xdde\x1e\xa2\x15\xc7\xbd\x0f'|134|42|92|52|0|52|10|34|52
1743252032.424817|3461344040|202226|b'\xe4` .\xe5\xec@\xac\x15\xdb\x01\xe0\xc2\x13\xb63'|b'\xce\xdc\xa2\xa6Kv\x04#\x1fQV#'|134|42|92|52|0|52|10|35|52
1743252032.426789|3461344040|202227|b'/\xbd\x8cc\xc93\xcc\xd7S\xab\x1dO\xfb\xbb\xcc\x80'|b'\x8b\xc7C\xc3\xf5\x86\xb7\xba/\nK\x17'|134|42|92|60|0|60|2|36|60
1743252032.486918|3224334942|411550|b'\xc9j2Q\xc8\xcbC\x90D\xa7\xf9\xe4{\xd8\x87!'|b'\x80\x19(\xd9\n\xe61rI\xc1\x8d\xbf'|150|42|108|52|24|76|2|37|76
1743252032.486918|3224334942|411551|"b'\xa3+:""\xd3\xa6\xd4\xe4\x7f\x97\xa2\xde\'\xed\xb7\xd3'"|b'\xa4\xee\xc9\xd9\x85A\n^]$\xb9\xbe'|134|42|92|52|0|52|10|38|52
1743252032.486918|3224334942|411552|b'\xe3\x13\r\t\x8e\xbb\x02\x07\x8b\xeb\x19\xc0\xe0\xc5\x7f\xff'|b's\xd9\x02\xdb?\xfe\xcf\x9e\x1ej\xa8\xb9'|134|42|92|60|0|60|2|1|60
1743252032.487004|3461344040|202228|"b""\x06}v\xbc\xfcg\xcd\xce\x17<\x8b'\xa9]Q\xbd"""|"b'?\x14\x11l\xd5|\x11\xe1_N\xaf '"|118|42|76|40|0|40|6|1|60
1743252032.487098|3461344040|202229|b'\xb9di<\x02a\xaej`\x90\xff\x0b\xb8E\xc1\xf7'|b'\x8c]\xfb&o\xdeu\xa5\x85e\xde\x06'|134|42|92|52|0|52|10|41|52
1743252032.487571|3461344040|202230|b'U*\x0e\xa7\xf08.\xa9\xcb\x0e\xe0]\x80\xe3,\xe0'|b'\\<\rK#\x96\x8d\xda:/\x93a'|646|42|604|52|517|569|5|42|569
1743252032.545751|3224334942|411553|"b'8\x9cN3\xbef\x07\xe9\x91j\xea\x1f9\x80\xa2|'"|b'\xa9\x08\xd4l\x17\xc0>S\x8c\xdf\x1f\xf7'|134|42|92|52|0|52|10|43|52
1743252032.607254|3224334942|411554|b'a\xfb\xdf\xcaF\xd2P\x8d_\xc0U3\xbeZ\xe7c'|b'\xa3\x91X2\x8a\xbd\xedu\xa2\xd3\xa2a'|1510|42|1468|52|1382|1434|4|44|1434
1743252032.607254|3224334942|411555|b'}\x86\xd2\x8d\xcaPn\x85\x0b)\xbb\xc7\xbe\t*\xa5'|b'\xe4IG\x04\xb18\x97`\xf8\xb1\xd12'|1510|42|1468|52|1382|1434|4|45|1434
1743252032.607254|3224334942|411556|b'gY\xeeu\\\xd6\x80\xa0V\x90>^F;\x1bp'|b'\xbd\xa5\xa7&F\xab\x03\x839\xd1\xf4\xc9'|214|42|172|52|84|136|6|46|136
1743252032.607254|3224334942|411557|b'\xec\xbaO\xb9_@E\x9a\xe5a\xc0\x1cgD \x19'|b'\x81\xe2iBb\xf9\x96\xee\xeetK8'|1510|42|1468|52|1382|1434|4|47|1434
1743252032.607254|3224334942|411558|b'P{\n.\xcb\x80\xa6\x16\xf9p1\xf6\x83&1\xe4'|b'A\x9d\xe1p\x0fx\xf5\xb0`\xb7\x15\x92'|1334|42|1292|52|1199|1251|11|48|1251
1743252032.607615|3461344040|202231|b'\xbc\xa3+\xack\x16\xca\xb4X\n&\xed\xe3\xe4g\x8c'|b'5\x8e;\x02\x1bz\xcf\xbdO\xae\x97x'|134|42|92|52|0|52|10|49|52
1743252032.607909|3461344040|202232|"b'\xa9\xa2\xd8|E\xdf\x99\xf5\x18\xb1\xe46\r\x19r\xf5'"|b'\xe5\xeeVZ\x01\xfe\x06\x9e\xa6\xcf\x9b\xfe'|134|42|92|52|0|52|10|50|52
1743252032.607950|3461344040|202233|"b""\xfanm\x93'\x87\x03\xa7~`\x00\xb4\xafR\x05\xe6"""|b'+\x8a\xdb\xffp\x850*\xba\xc2h:'|134|42|92|52|0|52|10|51|52
1743252032.609051|3461344040|202234|"b""8\xbbZS\xfbH\xcb:\x03\xab\xef'\xb2Q\xed\x84"""|"b'\x0c""\x17%\x0e|\xdf\n\xb7\x02\xaf|'"|198|42|156|52|64|116|10|52|116
1743252032.609340|3461344040|202235|b'\x8b\xb1Y\xcc\xd8\x8bI\r8\xcfh#\xf2\x83-\x95'|b'\x9e\xe2\xc1\x12\xe4 D\x0c\xd7U\xac\x95'|358|42|316|52|234|286|0|53|286
1743252032.669823|3224334942|411559|b'~=\x17\xf6]\x01y\xb3K\xbfd\x08we\x90\x98'|b'\x17\xe2x\x16\x1a\xe9\x8c3\xa1\x9b>\xce'|134|42|92|52|0|52|10|54|52
1743252032.669823|3224334942|411560|b'/\xc2\x10{\xa9\xa3\xecj\xee\xebs\r\xa6\x9d\x89\xeb'|b'\xfc\x02q\xb0\x10`\xa3OV\x85\xa7\x05'|134|42|92|52|0|52|10|55|52
1743252032.674557|3224334942|411561|b'\x9c+\x1c\xa0\xcd\x91\x19:\x7fM\xd8\xfa\xc3\xb2\xf4\xc6'|b'\x85z\xfb\xc9\xe0\xa6{P8x\xb8Z'|950|42|908|52|811|863|15|56|863
1743252032.674557|3224334942|411562|b'zp\x1bz\xb4N\xea\xd2Z\x12u\xb2~S\x88?'|b'\xe3l\xec\xd2z;\x98\xa4\x91\x13\x9e\xe0'|1510|42|1468|52|1382|1434|4|57|1434
